title,url,source,category,college,location,description,department,specialization,systemGroup
(Open Rank) Teaching Faculty in Public Relations and Digital Communication (Non-Tenure Track),https://careers.pageuppeople.com/820/cw/en-us/job/505428/open-rank-teaching-faculty-in-public-relations-and-digital-communication-nontenure-track,PA,Faculty,Drexel University,"Faculty University City - Philadelphia, PA",,,,
***INTERNAL ONLY*** Chairperson-Associate or Full Professor,https://employment.ku.edu/jobs/faculty/internal-only-chairperson-associate-or-full-professor/32099br,KS,Faculty,University of Kansas,"Lawrence, KS",,,,Kansas
*Tenure-Track Faculty: Assistant Professor in Finance,https://apply.interfolio.com/169618,NY,Faculty,Fordham University,"Rose Hill and Lincoln Center Campuses, NY","The Gabelli School of Business at Fordham University invites applications for a tenure-track faculty position in Finance at the rank of Assistant Professor, to start on September 1, 2026. Hiring is contingent upon final budget approval by the University. Finance is a strategically important discipline within the Gabelli School and has grown considerably in both research productivity and course offerings in recent years. We seek faculty with strong research and publication potential in all areas of finance.&nbsp; &nbsp;",Finance,Finance,New York Public
*Tenure-Track: Assistant Professor in Accounting/Taxation,https://apply.interfolio.com/168555,NY,Faculty,Fordham University,"Rose Hill and Lincoln Center Campuses, NY","The Accounting and Taxation area of Fordham University’s Gabelli School of Business is seeking applications for two tenure-track assistant professor positions beginning September 1, 2026. The salary range is between $190,000 to $240,000 with guaranteed summer support and reduced teaching load for the first several years after hiring. Applicants are expected to have received their PhD by Fall 2026. The Gabelli School of Business is a strong and well-regarded business school. It consistently ranks high in national rankings for undergraduate programs (#21 in the nation), and graduate programs, especially for its MBA (#10 for Accounting Specialty Area in the nation), and EMBA (#10 in the nation). As the Gabelli School emphasizes both research and teaching, all candidates need to be able to work with students from a range of social, cultural, and economic backgrounds, have good communication skills, and have a commitment to mentor and serve as a role model for minority students. Having a diverse and inclusive community of students and faculty is a key part of Fordham's Strategic Plan . Fordham is an Equal Opportunity Employer, and women, people of color, and people with disabilities are especially encouraged to apply for the position. Consistent with our Jesuit tradition, we believe that cultural and intellectual diversity is central to the excellence of our academic program and strive to create an academic community and campus culture that attracts and facilitates the development of promising and diverse teacher-scholars. Moreover, as our student body at the Gabelli School becomes increasingly diverse, we are especially interested in candidates with substantive experience and commitment to teaching and mentoring students from a range of social, cultural, and economic backgrounds.&nbsp;&nbsp; While the Gabelli School is seeking to hire for two positions, there is no assurance that either or both positions will be filled. The actual hiring decisions will depend on candida",Accounting/Taxation,Accounting/Taxation,New York Public
"*Tenure-Track: Assistant Professor in Counseling Psychology, Graduate School of Education",https://apply.interfolio.com/169660,NY,Faculty,Fordham University,"Lincoln Center Campus, NY","The Division of Psychological &amp; Educational Services (PES), which is housed within Fordham University Graduate School of Education (GSE), invites applications for a tenure-track faculty position within its APA-accredited Counseling Psychology PhD Program and MPCAC-accredited master’s programs in School Counseling and Mental Health Counseling. We seek individuals who will contribute to teaching, scholarship/research, and mentoring. A successful candidate is expected to develop a systematic research program that involves students. Applicants should have demonstrated success or potential in obtaining extramural funding. Evidence of dedication to high-quality graduate teaching, advising, supervision, and research mentoring is expected. The program, division, school, and university are especially interested in qualified candidates who are committed to and will actively contribute to our efforts to celebrate our cultural and intellectual richness and be resolute in advancing equity and inclusion of the academic community through their research, teaching, and service. Position Responsibilities &nbsp; Provides outstanding teaching, advising, and mentoring to graduate students in all three counseling programs.&nbsp; Possesses interest, experience, and/or expertise in quantitative research methods and assessment. Maintains a coherent and productive research program that supports the counseling psychology program, includes graduate students as co-authors, and strengthens the GSE’s commitment and national leadership in research, training, and service with diverse populations. Maintains publication activity in high-quality peer-reviewed journals. Supervises graduate students from underrepresented groups in higher education, engages in student research, and encourages participation in conference presentations and publishing. Seeks and secures external funding to support research, personnel preparation, and/or outreach. Provides program, division, school, and university-wide s","Counseling Psychology, Graduate School of Education","Counseling Psychology, Graduate School of Education",New York Public
1855 Assistant/Associate/Full Professor - Of Engineering,https://careers.msu.edu/jobs/1855-assistant-associate-full-professor-east-lansing-michigan-united-states,MI,Faculty,Michigan State University,"East Lansing, MI",,Of Engineering,Of Engineering 1088952 The College of Engineering invites applications for a tenure-system,
1855 Associate/Full Professor-Tenure System - Of Human Medicine,https://careers.msu.edu/jobs/1855-associate-full-professor-tenure-system-flint-michigan-united-states-895e1923-fc94-4c55-ab79-49f75277e805,MI,Faculty,Michigan State University,"East Lansing, MI",,Of Human Medicine,Of Human Medicine 1061811 The College of Human Medicine at Michigan State University (MSU),
"2/16/2026 6:00:00 AM Caring Campus Employee Spotlight: Patricia Nevarez Former St. Philip’s College (SPC) student Patricia Nevarez now serves as Assistant Professor and Clinical Coordinator, preparing the next generation of cardiovascular professionals.",https://www.alamo.edu/spc/news-events/news/2026/february/caring-campus-employee-spotlight-patricia-navarez/,TX,Faculty,St Philip's College,"St Philip's College, TX",,preparing the next generation of cardiovascular professionals,preparing the next generation of cardiovascular professionals,Texas
2/16/2026 6:00:00 AM SPC Names Larry Canion as 2026 Minnie Stevens Piper Nominee St. Philips College (SPC) is proud to announce Professor Larry Canion as its 2026 Minnie Stevens Piper Nominee.,https://www.alamo.edu/spc/news-events/news/2026/february/spc-names-larry-canion-as-2026-minnie-stevens-piper-nominee/,TX,Faculty,St Philip's College,"St Philip's College, TX",,,,Texas
2/17/2026 6:00:00 AM The Professor Who Brought Mexican American Studies to Texas For Professor Emeritus Johnny McCain advancing Mexican-American studies was a personal mission.,https://www.alamo.edu/sac/news-events/news/2026/february/centennial-mccain/,TX,Faculty,San Antonio College,"San Antonio College, TX",,,,Texas
2025 - 2026 Lecturer for Department of Animal Science,https://recruit.ucdavis.edu/JPF07079,UC,Faculty,UC Davis,"Davis, CA",,2026 Lecturer for Department of Animal Science,2026 Lecturer for Department of Animal Science,California Public
2025-2026 Lecturer - Environmental Science and Policy,https://recruit.ucdavis.edu/JPF07327,UC,Faculty,UC Davis,"Davis, CA",,Environmental Science and Policy,Environmental Science and Policy,California Public
2025-2026 Lecturer -Agricultural & Resource Economics,https://recruit.ucdavis.edu/JPF07039,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
"2025-2026 Lecturer for Department of Human Ecology, Community and Regional Development Program",https://recruit.ucdavis.edu/JPF07179,UC,Faculty,UC Davis,"Davis, CA",,Community and Regional Development Program,Community and Regional Development Program,California Public
"2025-2026 Lecturer for Department of Human Ecology, Landscape Architecture and Environmental Design",https://recruit.ucdavis.edu/JPF07227,UC,Faculty,UC Davis,"Davis, CA",,Landscape Architecture and Environmental Design,Landscape Architecture and Environmental Design,California Public
2025-2026 Lecturer for Human Development & Family Studies,https://recruit.ucdavis.edu/JPF07228,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2025-2026 Lecturer Search - UC Davis Sociology Department,https://recruit.ucdavis.edu/JPF07250,UC,Faculty,UC Davis,"Davis, CA",,UC Davis Sociology Department,UC Davis Sociology Department,California Public
2025-2026 Recent Ph.D. Lecturers - UC Davis Sociology Department,https://recruit.ucdavis.edu/JPF07121,UC,Faculty,UC Davis,"Davis, CA",,UC Davis Sociology Department,UC Davis Sociology Department,California Public
2025-26 Philosophy Temporary Lecturers,https://recruit.ucdavis.edu/JPF07053,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2025-26 Psychology Temporary Lecturers,https://recruit.ucdavis.edu/JPF07052,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2025-26 Science and Technology Studies Temporary Lecturers,https://recruit.ucdavis.edu/JPF07054,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2025/26 Psychological Science Lecturer Pool Ad,https://recruit.ap.uci.edu/JPF09527,UC,Faculty,UC Irvine,"Irvine, CA",,,,California Public
2026 ANT Associate Instructor/Lecturer Positon,https://recruit.ucdavis.edu/JPF07484,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
"2026 Course Instructor (Gov. School, time limited, multiple openings)",https://muw.peopleadmin.com/postings/6750,MS,Faculty,Mississippi University for Women,"Columbus, MS",,,,Mississippi
2026 Visual Arts Temporary Lecturer,https://apol-recruit.ucsd.edu/JPF04395,UC,Faculty,UC San Diego,"San Diego, CA",,,,California Public
2026-2027 Lecturer Pool Recruitment,https://recruit.ucdavis.edu/JPF07417,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2026-27 College Fellows (in multiple areas) — Faculty of Arts and Sciences,https://academicpositions.harvard.edu/postings/15889,MA,Faculty,Harvard University,"Harvard University, MA",,Faculty of Arts and Sciences,Faculty of Arts and Sciences,Massachusetts Private
2026-27 Fairbank Center Visiting Scholars Program — Faculty of Arts and Sciences,https://academicpositions.harvard.edu/postings/15695,MA,Faculty,Harvard University,"Harvard University, MA",,Faculty of Arts and Sciences,Faculty of Arts and Sciences,Massachusetts Private
2026-27 REISCHAUER INSTITUTE POSTDOCTORAL FELLOWSHIPS IN JAPANESE STUDIES — Faculty of Arts and Sciences,https://academicpositions.harvard.edu/postings/15367,MA,Faculty,Harvard University,"Harvard University, MA",,Faculty of Arts and Sciences,Faculty of Arts and Sciences,Massachusetts Private
2028 Hans G. Dehmelt and David J. Thouless Postdoctoral Fellowships Physics,https://ap.washington.edu/ahr/position-details/?job_id=169858,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"25-26 Health Sciences Clinical Professor, All Ranks - School of Medicine, Department of Surgery",https://recruit.ap.uci.edu/JPF09790,UC,Faculty,UC Irvine,"Irvine, CA",,"School of Medicine, Department of Surgery","School of Medicine, Department of Surgery",California Public
25-26 Postdoctoral Scholar - Immuno - Virology and Vaccine Development (Pool Ad),https://recruit.ap.uci.edu/JPF09899,UC,Faculty,UC Irvine,"Irvine, CA",,Immuno — Virology and Vaccine Development (Pool Ad),Immuno — Virology and Vaccine Development (Pool Ad),California Public
25-26 Postdoctoral Scholars/Fellows - Ophthalmology and Visual Sciences (Pool Recruitment),https://recruit.ap.uci.edu/JPF09891,UC,Faculty,UC Irvine,"Irvine, CA",,Ophthalmology and Visual Sciences (Pool Recruitment),Ophthalmology and Visual Sciences (Pool Recruitment),California Public
"Abdomen-Extended Instructor, Diagnostic Medical Sonography Program",https://facultyjobs.umbc.edu/en-us/job/495168/abdomenextended-instructor-diagnostic-medical-sonography-program,MD,Faculty,"University of Maryland, Baltimore County","Catonsville, MD",,Diagnostic Medical Sonography Program,Diagnostic Medical Sonography Program,Maryland
"Abdominal Wall Reconstruction Fellowship, Clinical Instructor, Surgery, Bariatric Foregut and Advanced GI Surgery",https://apply.interfolio.com/178131,NY,Faculty,Stony Brook University (SUNY),"Stony Brook, NY","AWR Fellowship Welcome to the Stony Brook Abdominal Wall Reconstruction (AWR) Fellowship! This one-year program provides comprehensive training in all aspects of hernia pathology, and our graduates are prepared to manage the full spectrum of ventral and groin hernias, including recurrent and complex ones. The designated AWR fellowship pathway was established in 2025 and is built on two decades of experience within our nationally recognized Minimally Invasive Surgery fellowship. We currently offer one independent AWR position outside the Fellowship Council match. Fellows gain broad exposure to a wide variety of AWR procedures, with approximately three-quarters performed robotically (IPUM+, rTAPP, eTEP-RS, rTAR, robotic parastomals, SCOLA, TAPPRA, LIRA, PeTEP). Open experience include recurrent inguinal and inguinoscrotal hernias, mesh explantation and neurectomies, and multiple recurrent ventral hernias, including loss-of-domain cases. Overall case mix and volume exceeds Fellowship Council AWR designation requirements. The fellow participates actively in clinics and operates across three neighboring facilities. Call responsibilities are light, with infrequent acute care surgery call (no trauma), to support a smooth graduated transition to independent practice. Additionally, AWR fellow splits the Advanced GI Surgery service call with MIS/Bariatric fellow. Stony Brook University Hospital’s (SBUH) unique suburban setting combined with established referral patterns, provides a steady flow of patients with diverse comorbidities and hernia pathology. This breadth of experience prepares fellows for real-world practice in a range of settings, from urban academic centers to community hospitals. Education and Case Mix Educational experience includes discussion of cases and management in clinics and operating room, weekly morbidity and mortality conferences and grand rounds with Department of Surgery. Additionally, we conduct bi-monthly virtual discussions of the most interesti",,,New York Public
Academic Affairs Available Faculty Positions,https://www.southalabama.edu/departments/academicaffairs/facultyposition.html,AL,Faculty,University of South Alabama,"Mobile, AL",,,,Alabama
"Academic Clinical Chemistry Pathologist, Assistant/Associate/Full Professor",https://recruit.ucdavis.edu/JPF07241,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
Academic Coordinator/ Lecturer (Pre-Six) in Educational Leadership (Ed.D.),https://apol-recruit.ucsd.edu/JPF04453,UC,Faculty,UC San Diego,"San Diego, CA",,,,California Public
Academic Dean,https://jobs.uca.edu/postings/18297,AR,Faculty,University of Central Arkansas,"Conway, AR",,,,Arkansas
Academic Dean's Office,https://www.pomona.edu/administration/academic-dean,Claremont,Faculty,Pomona College,,,,,
Academic Emergency Medicine Faculty,https://facultypositions.stanford.edu/en-us/job/493475/academic-emergency-medicine-faculty,CA Private,Faculty,Stanford University,"Stanford University, CA",,,,California Private
Academic Fieldwork Coordinator/ Assistant Professor,https://www.schooljobs.com/careers/desu/jobs/4650552/academic-fieldwork-coordinator-assistant-professor,DE,Faculty,Delaware State University,"Dover, DE",,,,
Academic General Gastroenterologist - Assistant/Associate Professor in the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,https://recruit.ucdavis.edu/JPF07189,UC,Faculty,UC Davis,"Davis, CA",,the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,California Public
Academic General Gastroenterologist - Assistant/Associate Professor in the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,https://recruit.ucdavis.edu/JPF07235,UC,Faculty,UC Davis,"Davis, CA",,the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,the Health Sciences Clinical Professor and Clin X Series - Division of Gastroenterology & Hepatology,California Public
"Academic Generalist Fellowship, Clinical Instructor, OBGYN",https://apply.interfolio.com/175562,NY,Faculty,Stony Brook University (SUNY),"Stony Brook, NY","The Department of Obstetrics, Gynecology, and Reproductive Medicine at Stony Brook University is offering a two-year fellowship to prepare general obstetrician-gynecologists to pursue a career in an academic department. Previous Fellows have pursued educational and clinical goals in hospital-based medicine and Gynecologic Ultrasound. These fellows have successfully obtained the clinical experience and relevant credentials (i.e. AIUM certification) to find successful employment in their niche after fellowship. These two programs are fully developed, but the fellowship can be tailored to the interests and career goals of the successful applicant.&nbsp; Focus areas can be in a clinical niche, education, or research. The accepted applicant will be paired with a mentor to aid them in developing a curriculum and monitoring their progress. Regardless of focus area, fellows will be required to develop an education and research portfolio. Fellows will also have dedicated clinical time to master the skills needed for a general obstetrician-gynecologist.&nbsp; Opportunities to pursue advanced degrees, such as MPH, MBA, MHA, and MS Clinical Research, are also available in conjunction with Stony Brook University.&nbsp; At the end of training, fellows will have a strong foundation in their area of focus and be well positioned to launch an academic career.",OBGYN,OBGYN,New York Public
Academic Hospital Medicine Faculty (ZSFG),https://aprecruit.ucsf.edu/JPF05753,UC,Faculty,UC San Francisco,"San Francisco, CA",,,,California Public
"Academic Hospitalist, Clinical Assistant/Associate Professor, OBGYN, General",https://apply.interfolio.com/171666,NY,Faculty,Stony Brook University (SUNY),"Stony Brook, NY","The Division of General Obstetrics &amp; Gynecology at Stony Brook Medicine is recruiting a full-time Hospitalist.&nbsp; The Department’s academic practice has a well-established history of excellence, and Stony Brook University Hospital is strongly committed to the hospitalist model.&nbsp; Hospitalist responsibilities include inpatient obstetrics &amp; gynecology coverage, participation in quality initiatives, and education of medical students and residents.&nbsp; This is a great opportunity to join a dynamic and growing department with career opportunities in education, quality, simulation, and research.",,,New York Public
Academic Hospitalist: Instructor/ Assistant Professor/ Associate Professor at the CUMC,https://apply.interfolio.com/169292,NY,Faculty,Columbia University,"Columbia University, NY","The Department of Medicine, Division of General Medicine at the Columbia University Medical Center in New York City is looking to expand our academic hospitalist group at the Milstein Hospital. Duties include teaching of residents and medical students, providing direct patient care with the assistance of physician assistants, and involvement in quality improvements, patient safety initiatives and other academic activities. Successful applicants must have clinical teaching experience in comparable setting and substantive interest in hospital medicine, either as a career path or gap year before subspecialty fellowship. We are recruiting for daytime, nighttime, and hybrid positions; please indicate your interest in one or more of these schedules in your cover letter. We are considering applicants at the Instructor, Assistant and Associate Professor levels. Learn more at&nbsp; https://www.genmed.columbia.edu/hospital-medicine Salary Range: &nbsp;$218,000-$265,000 Instructor in Medicine at CUMC: &nbsp;$218,000 Assistant Professor of Medicine at CUMC: &nbsp;$235,000 Associate Professor of Medicine at CUMC: &nbsp;$265,000",,,New York Public
Academic Joint Departments - Assistant Professor/Tenure-Earning Faculty Positions in Virology - Department of Microbiology,https://uab.peopleadmin.com/postings/25782,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,,,Alabama
Academic Joint Departments - Open Rank - Clinical Genetics (Faculty),https://uab.peopleadmin.com/postings/25644,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,Open Rank — Clinical Genetics (Faculty),Open Rank — Clinical Genetics (Faculty),Alabama
Academic Joint Departments - Open Rank/ Open Tenure - Clinical Genetics/Genomic Medicine Faculty,https://uab.peopleadmin.com/postings/25658,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,Open Rank/ Open Tenure — Clinical Genetics/Genomic Medicine,Open Rank/ Open Tenure — Clinical Genetics/Genomic Medicine,Alabama
Academic Joint Departments - Open Rank/ Open Tenure - Clinical Genetics/Genomic Medicine Faculty,https://uab.peopleadmin.com/postings/25596,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,Open Rank/ Open Tenure — Clinical Genetics/Genomic Medicine,Open Rank/ Open Tenure — Clinical Genetics/Genomic Medicine,Alabama
Academic joint Departments-Associate Professor-Molecular & Cellular Pathology,https://uab.peopleadmin.com/postings/25781,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,,,Alabama
Academic Joint Departments-Open Rank/Open Tenure-Clinical Genetics/Genomic Medicine Faculty,https://uab.peopleadmin.com/postings/25845,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,,,Alabama
Academic Joint Health Department-Assistant Professor-Neurobiology,https://uab.peopleadmin.com/postings/25803,AL,Faculty,University of Alabama at Birmingham,"Birmingham, AL",,,,Alabama
Academic Obstetrics and Gynecology Hospitalist (Clinical Assistant Professor) in the Department of Obstetrics and Gynecology Obstetrics and Gynecology,https://ap.washington.edu/ahr/position-details/?job_id=169369,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
Academic Palliative Medicine Faculty,https://aprecruit.ucsf.edu/JPF05884,UC,Faculty,UC San Francisco,"San Francisco, CA",,,,California Public
Academic Professional Track (Non-Tenure) : Instructional Professor and Department Head of Engineering Medicine Education,https://faculty.tamu.edu/JobDetail.aspx?PositionId=174543&JobId=178538,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Assistant or Associate Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=163727&JobId=168841,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice,the Practice,Texas
Academic Professional Track (Non-Tenure): Assistant Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177125&JobId=180820,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice,the Practice,Texas
Academic Professional Track (Non-Tenure): Associate Professor of the Practice or Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=173752&JobId=177814,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice or Professor of the Practice,the Practice or Professor of the Practice,Texas
Academic Professional Track (Non-Tenure): Associate Professor of the Practice or Professor of the Practice and Department Head,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177737&JobId=181357,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice or Professor of the Practice and Department Head,the Practice or Professor of the Practice and Department Head,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant or Associate Professor Small Animal Clinical Educator,https://faculty.tamu.edu/JobDetail.aspx?PositionId=171447&JobId=175744,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
"Academic Professional Track (Non-Tenure): Clinical Assistant Professor of Undergraduate Human Resource Development (HRD), McAllen, Texas",https://faculty.tamu.edu/JobDetail.aspx?PositionId=172386&JobId=176586,TX,Faculty,Texas A&M University,"College Station, TX",,"Undergraduate Human Resource Development (HRD), McAllen, Texas","Undergraduate Human Resource Development (HRD), McAllen, Texas",Texas
Academic Professional Track (Non-Tenure): Clinical Assistant Professor or Clinical Associate Professor - Cardiology,https://faculty.tamu.edu/JobDetail.aspx?PositionId=166687&JobId=171519,TX,Faculty,Texas A&M University,"College Station, TX",,Cardiology,Cardiology,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant Professor or Clinical Associate Professor in Small Animal Primary Care,https://faculty.tamu.edu/JobDetail.aspx?PositionId=160245&JobId=165732,TX,Faculty,Texas A&M University,"College Station, TX",,Small Animal Primary Care,Small Animal Primary Care,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant Professor or Clinical Associate Professor of Veterinary Clinical Pathology,https://faculty.tamu.edu/JobDetail.aspx?PositionId=174042&JobId=178073,TX,Faculty,Texas A&M University,"College Station, TX",,Veterinary Clinical Pathology,Veterinary Clinical Pathology,Texas
Academic Professional Track (Non-Tenure): Clinical Assistant/Associate Professor - Comparative Ophthalmology,https://faculty.tamu.edu/JobDetail.aspx?PositionId=96724&JobId=107700,TX,Faculty,Texas A&M University,"College Station, TX",,Comparative Ophthalmology,Comparative Ophthalmology,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor,https://faculty.tamu.edu/JobDetail.aspx?PositionId=118415&JobId=127385,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor - McAllen,https://faculty.tamu.edu/JobDetail.aspx?PositionId=172124&JobId=176337,TX,Faculty,Texas A&M University,"College Station, TX",,McAllen,McAllen,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor in Literacy,https://faculty.tamu.edu/JobDetail.aspx?PositionId=164851&JobId=169879,TX,Faculty,Texas A&M University,"College Station, TX",,Literacy,Literacy,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor or (visiting) Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=153934&JobId=159995,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor or Assistant Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=168469&JobId=173095,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice,the Practice,Texas
Academic Professional Track (Non-Tenure): Instructional Assistant Professor or Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=175592&JobId=179469,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Associate Professor or Instructional Professor and Associate Dean for Academic Affairs,https://faculty.tamu.edu/JobDetail.aspx?PositionId=172003&JobId=176237,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Instructional Professor and Department Head of Pharmacy Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=172285&JobId=176481,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=115461&JobId=124825,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=116445&JobId=125723,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Lecturer,https://faculty.tamu.edu/JobDetail.aspx?PositionId=175207&JobId=179129,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Lecturer Open Rank – McAllen Campus,https://faculty.tamu.edu/JobDetail.aspx?PositionId=177255&JobId=180933,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Open Rank- Lecturer in Clinical Instruction,https://faculty.tamu.edu/JobDetail.aspx?PositionId=175933&JobId=179767,TX,Faculty,Texas A&M University,"College Station, TX",,Clinical Instruction,Clinical Instruction,Texas
Academic Professional Track (Non-Tenure): Open Rank-Clinical or Clinical Faculty-Geriatric,https://faculty.tamu.edu/JobDetail.aspx?PositionId=136771&JobId=144114,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Professor of the Practice,https://faculty.tamu.edu/JobDetail.aspx?PositionId=176551&JobId=180320,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice,the Practice,Texas
Academic Professional Track (Non-Tenure): Professor of the Practice and Department Head of Public Service and Administration,https://faculty.tamu.edu/JobDetail.aspx?PositionId=172108&JobId=176319,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice and Department Head of Public Service and Administration,the Practice and Department Head of Public Service and Administration,Texas
Academic Professional Track (Non-Tenure): Professor of the Practice and Instructional Professor,https://faculty.tamu.edu/JobDetail.aspx?PositionId=166123&JobId=171024,TX,Faculty,Texas A&M University,"College Station, TX",,the Practice and Instructional Professor,the Practice and Instructional Professor,Texas
Academic Professional Track (Non-Tenure): Senior Lecturer and Director of the Tax Dispute Resolution Clinic,https://faculty.tamu.edu/JobDetail.aspx?PositionId=169090&JobId=173647,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track (Non-Tenure): Visiting Lecturer or Lecturer-McAllen Campus,https://faculty.tamu.edu/JobDetail.aspx?PositionId=170109&JobId=174545,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Track Faculty (Non-Tenure): Instructional Assistant Professor,https://faculty.tamu.edu/JobDetail.aspx?PositionId=169014&JobId=173589,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Academic Professional Tract (Non-Tenure) : Clinical Associate Professor or Clinical Professor and Residency Program Director with Shannon Health System,https://faculty.tamu.edu/JobDetail.aspx?PositionId=146271&JobId=152908,TX,Faculty,Texas A&M University,"College Station, TX",,,,Texas
Accounting - Assistant or Associate Professor,https://csucareers.calstate.edu/en-us/job/552198/accounting-assistant-or-associate-professor,CSU,Instructional Faculty – Tenured/Tenure-Track,California State University Channel Islands,"Channel Islands, CA",,Assistant or Associate Professor,Assistant or Associate Professor,California Public
"Accounting - Lecturer Part - time, Temporary Milgard School of Business",https://ap.washington.edu/ahr/position-details/?job_id=163699,WA,Faculty,University of Washington,"Seattle, WA",,Temporary Milgard School of Business,Temporary Milgard School of Business,Washington
Accounting - Non-Tenure Track Faculty Vacancy Pool,https://hr.wwu.edu/careers-faculty?job=502832,WA,Faculty,Western Washington University,"Bellingham, WA",,Non-Tenure Track Faculty Vacancy Pool,Non-Tenure Track Faculty Vacancy Pool,Washington
Accounting (Assistant or Associate Professor) posted 01/20/26,https://www.southalabama.edu/departments/academicaffairs/resources/academicaffairspostings/4232-acc-asstorasscprof-appr121825.pdf,AL,Faculty,University of South Alabama,"Mobile, AL",,,,Alabama
Accounting Instructor - UCLA Extension,https://recruit.apo.ucla.edu/JPF10741,UC,Faculty,UCLA,"Los Angeles, CA",,UCLA Extension,UCLA Extension,California Public
Accounting Instructors for the Jake Jabs College of Business & Entrepreneurship Non-Tenure Track Faculty (Applicant Pool),https://jobs.montana.edu/postings/49973,MT,Faculty,Montana State University,"Bozeman, MT",,,,
Acting Assistant Professor (“INT Junior Fellow”) Physics,https://ap.washington.edu/ahr/position-details/?job_id=172669,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
Acting Assistant Professor (IQu S Senior Researcher) – University of Washington Physics,https://ap.washington.edu/ahr/position-details/?job_id=172582,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
