title,url,source,category,college,location,description,department,specialization,systemGroup
"Associate Professor or Full Professor of Clinical Practice - Section Chief of Hepatology Medicine, Gastroenterology Seatle, Washington",https://ap.washington.edu/ahr/position-details/?job_id=163938,WA,Faculty,University of Washington,"Seattle, WA",,"Clinical Practice - Section Chief of Hepatology Medicine, Gastroenterology Seatle, Washington","Clinical Practice - Section Chief of Hepatology Medicine, Gastroenterology Seatle, Washington",Washington
"Associate Professor or Full Professor without Tenure, Department of Pediatrics, Division of Immunology, Center for Immunity and Immunotherapies (CIIT) Pediatrics",https://ap.washington.edu/ahr/position-details/?job_id=119548,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Associate Professor or Professor and Chair, Department of Health Policy and Management",https://apply.interfolio.com/168587,NY,Faculty,Columbia University,"Columbia University, NY","The Columbia University Mailman School of Public Health (Columbia Mailman or the School) is seeking applications and nominations for the Thomas Campbell Jackson and Pamela Brandt Jackson Chair of the Department of Health Policy and Management. The ideal candidate is a distinguished leader with a global reputation for advancing the understanding of health systems, policy, and management. This individual possesses a deep commitment to developing better, fairer, and more efficient means to protect and preserve public health through research and teaching that empower policymakers and health care managers to operate effectively in a complex and evolving environment. Reporting directly to the Dean of the School and serving as a key member of the School’s leadership team, the Chair will set a forward-looking vision for the Department, leveraging its historic strengths and pioneering research to address contemporary challenges in health policy and management. The Chair will play a crucial role in supporting and expanding a dynamic faculty, many of whom are recognized as leaders in their respective fields. This role will foster innovative educational programs that prepare students to navigate and influence the intricate landscape of health care delivery, public health policy, and management. The successful candidate has a proven track record of academic achievement, substantial extramural grant support, and significant impact within the field. They will bring expertise in addressing current and emerging challenges in health policy and management, a clear vision for future advancements, and the ability to cultivate effective partnerships. Demonstrable leadership and management capabilities also are essential. The Columbia Mailman School of Public Health Founded in 1922, Columbia Mailman is a top-ranked global leader in research, education, and policy. Ranked #6 nationally by U.S. News &amp; World Report and a top NIH grant recipient, the School addresses complex health challe",Department of Health Policy and Management,Department of Health Policy and Management,New York Public
"Associate Professor or Professor of Anesthesiology at CUMC (Division Chief, Pediatric Anesthesiology)",https://apply.interfolio.com/166737,NY,Faculty,Columbia University,"Columbia University, NY","The Department of Anesthesiology at Columbia University Irving Medical Center seeks a distinguished academic anesthesiologist to serve as the next Chief of Pediatric Anesthesiology at the Columbia University Irving Medical Center. The position includes an academic appointment at the Associate Professor/Professor level with the Columbia University Vagelos College of Physicians and Surgeons,&nbsp;one of the top-ranked multidisciplinary clinical and research teams in the country. The Division of Pediatric Anesthesiology is committed to providing outstanding care for children of all ages from neonates to young adults, and across a range of surgical and nonsurgical specialties at the Morgan Stanley Children’s Hospital of New York (MS CHONY). These include general surgery, neurosurgery, orthopedics, otolaryngology, ophthalmology, plastic surgery, urology, cardiac surgery, and solid organ transplantation. Notably, MS CHONY is home to one of the nation’s busiest pediatric liver transplant programs. The clinical acuity at the MS CHONY is the highest of all children’s hospitals in the US. MS CHONY is an exclusively pediatric facility, with ten operating rooms, an endo/bronchoscopy suite, and a diagnostic/imaging suite. The division provides specialized care for babies in the neonatal intensive care unit and children in the pediatric critical care unit and directs a dedicated pediatric pain management program and regional anesthesia service. Many of the activities and services of the Pediatric Anesthesiology division are integrated with the recently created Pediatric Cardiac Anesthesiology division, which serves the largest pediatric cardiac surgical program in New York. The division features a robust clinical program at MS CHONY, with ten operating rooms, two endoscopy rooms, and three diagnostic and interventional imaging rooms.&nbsp; The division also provides specialized care in an active neonatal intensive care unit and operates a dedicated pediatric pain management progr","Anesthesiology at CUMC (Division Chief, Pediatric Anesthesiology)","Anesthesiology at CUMC (Division Chief, Pediatric Anesthesiology)",New York Public
"Associate Professor or Professor of Clinical Practice, OBCC Medical Director of Operations - Department of Pediatrics, Division of General Pediatrics Pediatrics, General Pediatrics",https://ap.washington.edu/ahr/position-details/?job_id=171435,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Associate Professor or Professor of Nursing, Director of Nursing",https://indiana.peopleadmin.com/postings/32050,IN,Faculty,Indiana University,"Bloomington, IN",,"Nursing, Director of Nursing","Nursing, Director of Nursing",Indiana
Associate Professor or Professor WOT (Medical Director - CPR) - Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,https://ap.washington.edu/ahr/position-details/?job_id=155496,WA,Faculty,University of Washington,"Seattle, WA",,CPR) — Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,CPR) — Anesthesiology & Pain Medicine Anesthesiology and Pain Medicine,Washington
Associate Professor or Professor WOT | Adult Cognitive Development - Psychiatry & Behavioral Sciences Psychiatry and Behavioral Sciences,https://ap.washington.edu/ahr/position-details/?job_id=157359,WA,Faculty,University of Washington,"Seattle, WA",,Psychiatry & Behavioral Sciences Psychiatry and Behavioral Sciences,Psychiatry & Behavioral Sciences Psychiatry and Behavioral Sciences,Washington
"Associate Professor or Professor WOT | Director, Division of Addictions | Psychiatry & Behavioral Sciences Psychiatry and Behavioral Sciences",https://ap.washington.edu/ahr/position-details/?job_id=155447,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Associate Professor or Professor WOT | Director, UW Division of Child and Adolescent Psychiatry & Chief of Psychiatry at",https://ap.washington.edu/ahr/position-details/?job_id=139844,WA,Faculty,University of Washington,"Seattle, WA",,UW Division of Child and Adolescent Psychiatry & Chief of Psychiatry at,UW Division of Child and Adolescent Psychiatry & Chief of Psychiatry at,Washington
